hmy_property,propert code,unit/space,acquisition sf,renewal probability,downtime(months),abatement-new(months),abatement-renew(months),e1 start date,e1 term (months),e1 annual escalations (%),e1 base rent-new ($psf),e1 base rent-renew ($psf),e1 lc-new %,e1 lc-renew %,e1 ti-new ($psf),e1 ti-renew ($psf),e1 tenanat options ($ psf),e2 start date,e2 term (months),e2 annual escalations (%),e2 base rent-new ($psf),e2 base rent-renew ($psf),e2 lc-new %,e2 lc-renew %,e2 ti-new ($psf),e2 ti-renew ($psf),e2 tenanat options ($ psf),acq. analysis start date,acq. marketbase rent - new,acq. marketbase rent - renew,effective rent growth yr 1(%),effective rent growth yr 2(%),effective rent growth yr 3(%),effective rent growth yr 4(%),effective rent growth yr 5(%),effective rent growth yr 6(%)
1291,nikedeal,100,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0
1372,xtndelp1,4290,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0
1372,xtndelp1,4310,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0
1372,xtndelp1,4318,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0
1372,xtndelp1,4319,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0
1372,xtndelp1,4319B,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0
1372,xtndelp1,4354,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0
1378,xtxwebbl,7903,25355,75,9,0,1,12/1/2023,60,3,6.48,6.48,6,4,3,1,0,12/1/2028,60,3,7.52,7.52,6,4,3,1,0,4/15/2021,6,6,3,0,0,0,0,0
1379,xflstuar,6959,24000,75,9,0,0,9/1/2023,24,2,4.72,4.72,6,0,0,0,4.78,9/1/2025,60,2,4.91,4.91,6,4,3,1,0,4/15/2021,4.5,4.5,2,0,0,0,0,0
1383,xohmost,A,90244,75,9,0,0,4/1/2025,12,4,3.65,3.65,6,3,3,1,3.53,4/1/2026,60,4,3.76,3.76,6,3,1,0,0,4/20/2021,3.25,3.25,3,0,0,0,0,0
1383,xohmost,B,20843,75,9,0,0,4/1/2025,12,4,3.65,3.65,6,3,3,1,3.53,4/1/2026,60,4,3.76,3.76,6,3,1,0,0,4/20/2021,3.25,3.25,3,0,0,0,0,0
1383,xohmost,D,114000,0,12,0,1,5/1/2022,60,3,3.61,3.61,6,3,3,1,0,5/1/2027,60,3,4.18,4.18,6,3,1,1,0,4/20/2021,3.5,3.5,3,0,0,0,0,0
1383,xohmost,C,46713,0,6,0,1,11/1/2021,60,3,3.05,3.05,6,3,2,1,0,11/1/2026,60,3,3.53,3.53,6,3,1,1,0,4/20/2021,3,3,3,0,0,0,0,0
1387,xnj3001i,C,25528,75,9,0,1,8/1/2022,60,0,5.7,5.7,6,4,4,2,5.33,8/1/2027,60,0,6.61,6.61,6,4,4,2,0,5/7/2021,5.5,5.5,3,0,0,0,0,0
1387,xnj3001i,A,24600,75,9,0,1,1/1/2025,60,3,6.13,6.13,6,4,4,2,0,1/1/2030,60,3,7.1,7.1,6,4,4,2,0,5/7/2021,5.5,5.5,3,0,0,0,0,0
1387,xnj3001i,E,12000,75,12,0,1,2/1/2023,60,3,9.47,9.47,6,4,7,2,0,2/1/2028,60,3,10.98,10.98,6,4,7,2,0,5/7/2021,9,9,3,0,0,0,0,0
1387,xnj3001i,B,24805,75,12,0,1,5/1/2024,60,3,6.01,6.01,6,4,4,2,0,5/1/2029,60,3,6.96,6.96,6,4,4,2,0,5/7/2021,5.5,5.5,3,0,0,0,0,0
1387,xnj3001i,D,4340,0,0,0,1,6/1/2021,60,3,7.01,7.01,6,4,7,2,0,6/1/2026,60,3,8.13,8.13,6,4,7,2,0,5/7/2021,7,7,3,0,0,0,0,0
1388,xnj2036b,300,9849,75,11,0,1,4/1/2029,60,3,8.84,8.84,6,4,7,2,0,4/1/2034,60,3,10.25,10.25,6,4,7,2,0,5/7/2021,7,7,3,0,0,0,0,0
1388,xnj2036b,100,10000,75,11,0,1,8/1/2026,60,3.5,8.17,8.17,6,4,15,2,8.35,8/1/2031,60,3.5,9.47,9.47,6,4,7,2,0,5/7/2021,7,7,3,0,0,0,0,0
1388,xnj2036b,200,5025,75,11,0,1,1/1/2027,60,3,8.57,8.57,6,4,7,2,0,1/1/2032,60,3,9.93,9.93,6,4,7,2,0,5/7/2021,7.25,7.25,3,0,0,0,0,0
1388,xnj2036b,400,15075,75,11,0,1,4/1/2030,60,2.5,9.11,9.11,6,4,7,2,0,4/1/2035,60,2.5,10.56,10.56,6,4,7,2,0,5/7/2021,7,7,3,0,0,0,0,0
1389,xnj6000i,A,11403,0,0,0,1,6/1/2021,60,3,8.02,8.02,6,4,7,2,0,6/1/2026,60,3,9.29,9.29,6,4,7,2,0,5/7/2021,8,8,3,0,0,0,0,0
1390,xtxball,9615,29772,75,6,0,1,2/1/2027,60,3,10.02,10.02,6,4,3,1,0,2/1/2032,60,3,11.61,11.61,6,4,3,1,0,5/12/2021,8.46,8.46,3,0,0,0,0,0
1391,xgahire1,196,42000,75,9,0,1,11/1/2025,60,2.5,7.33,7.33,7,6,3,0,6.8,11/1/2030,60,2.5,8.91,8.91,7,6,3,0,0,5/14/2021,6.15,6.15,4,0,0,0,0,0
